eng,spa_m,spa_f,spa_n
I am Afghan.,Soy afgano.,Soy afgana.,
I am Angolan.,Soy angoleño.,Soy angoleña.,
I am Albanian.,Soy albanés.,Soy albanésa.,
I am Andorran.,Soy andorrano.,Soy andorrana.,
I am Emirati.,,,Soy emiratí.
I am Argentine.,Soy argentino.,Soy argentina.,
I am Armenian.,Soy armenio.,Soy armenia.,
I am Antiguan.,Soy antiguano.,Soy antiguana.,
I am Australian.,Soy australiano.,Soy australiana.,
I am Austrian.,Soy austriaco.,Soy austriaca.,
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,
I am Burundian.,Soy burundés.,Soy burundésa.,
I am Belgian.,,,Soy belga.
I am Beninese.,Soy beninés.,Soy beninésa.,
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,
I am Bangladeshi.,,,Soy bangladesí.
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,
I am Bahraini.,,,Soy bareiní.
I am Bahamian.,Soy bahameño.,Soy bahameña.,
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,
I am Belizean.,Soy beliceño.,Soy beliceña.,
I am Bolivian.,Soy boliviano.,Soy boliviana.,
I am Brazilian.,Soy brasileño.,Soy brasileña.,
I am Barbadian.,,,Soy barbadense.
I am Bruneian.,Soy bruneano.,Soy bruneana.,
I am Bhutanese.,Soy butanés.,Soy butanésa.,
I am Motswana.,Soy botsuano.,Soy botsuana.,
I am Central African.,Soy centroafricano.,Soy centroafricana.,
I am Canadian.,,,Soy canadiense.
I am Swiss.,Soy suizo.,Soy suiza.,
I am Chilean.,Soy chileno.,Soy chilena.,
I am Chinese.,Soy chino.,Soy china.,
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,
I am Congolese.,Soy congoleño.,Soy congoleña.,
I am Colombian.,Soy colombiano.,Soy colombiana.,
I am Comoran.,,,Soy comorense.
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,
I am Costa Rican.,,,Soy costarricense.
I am Cuban.,Soy cubano.,Soy cubana.,
I am Cypriot.,,,Soy chipriota.
I am Czech.,Soy checo.,Soy checa.,
I am German.,Soy alemán.,Soy alemana.,
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,
I am Danish.,Soy danés.,Soy danésa.,
I am Dominican.,Soy dominicano.,Soy dominicana.,
I am Algerian.,Soy argelino.,Soy argelina.,
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,
I am Egyptian.,Soy egipcio.,Soy egipcia.,
I am Eritrean.,Soy eritreo.,Soy eritra.,
I am Spanish.,Soy español.,Soy española.,
I am Estonian.,Soy estonio.,Soy estona.,
I am Ethiopian.,,,Soy etíope.
I am Finnish.,Soy finlandés.,Soy finlandésa.,
I am Fijian.,Soy fiyiano.,Soy fiyiana.,
I am French.,Soy francés.,Soy francésa.,
I am Micronesian.,Soy micronesio.,Soy micronesia.,
I am Gabonese.,Soy gabonés.,Soy gabonésa.,
I am British.,Soy británico.,Soy británia.,
I am Georgian.,Soy georgiano.,Soy georgiana.,
