eng,deu_m,deu_f,deu_n
I am Afghan.,Ich bin Afghane.,Ich bin Afghanin.,
I am Angolan.,Ich bin Angolaner.,Ich bin Angolanerin.,
I am Albanian.,Ich bin Albaner.,Ich bin Albanerin.,
I am Andorran.,Ich bin Andorraner.,Ich bin Andorranerin.,
I am Emirati.,,,
I am Argentine.,Ich bin Argentinier.,Ich bin Argentinierin.,
I am Armenian.,Ich bin Armenier.,Ich bin Armenierin.,
I am Antiguan.,Ich bin Antiguaner.,Ich bin Antiguanerin.,
I am Australian.,Ich bin Australier.,Ich bin Australierin.,
I am Austrian.,Ich bin Österreicher.,Ich bin Österreicherin.,
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin Aserbaidschanerin.,
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,
I am Beninese.,Ich bin Beniner.,Ich bin Beninerin.,
I am Burkinabe.,Ich bin Burkiner.,Ich bin Burkinerin.,
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin Bangladescherin.,
I am Bulgarian.,Ich bin Bulgare.,Ich bin Bulgarin.,
I am Bahraini.,Ich bin Bahrainer.,Ich bin Bahrainerin.,
I am Bahamian.,Ich bin Bahamaer.,Ich bin Bahamaerin.,
I am Bosnian.,Ich bin Bosnier.,Ich bin Bosnierin.,
I am Belarusian.,Ich bin Belarusse.,Ich bin Belarussin.,
I am Belizean.,Ich bin Belizer.,Ich bin Belizerin.,
I am Bolivian.,Ich bin Bolivianer.,Ich bin Bolivianerin.,
I am Brazilian.,Ich bin Brasilianer.,Ich bin Brasilianerin.,
I am Barbadian.,Ich bin Barbadier.,Ich bin Barbadierin.,
I am Bruneian.,Ich bin Bruneier.,Ich bin Bruneierin.,
I am Bhutanese.,Ich bin Bhutaner.,Ich bin Bhutanerin.,
I am Motswana.,Ich bin Botsuaner.,Ich bin Botsuanerin.,
I am Central African.,Ich bin Zentralafrikaner.,Ich bin Zentralafrikanerin.,
I am Canadian.,Ich bin Kanadier.,Ich bin Kanadierin.,
I am Swiss.,Ich bin Schweizer.,Ich bin Schweizerin.,
I am Chilean.,Ich bin Chilene.,Ich bin Chilenin.,
I am Chinese.,Ich bin Chinese.,Ich bin Chinesin.,
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,
I am Cameroonian.,Ich bin Kameruner.,Ich bin Kamerunerin.,
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,
I am Colombian.,Ich bin Kolumbianer.,Ich bin Kolumbianerin.,
I am Comoran.,Ich bin Komorer.,Ich bin Komorerin.,
I am Cape Verdian.,,,
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin Costa Ricanerin.,
I am Cuban.,Ich bin Kubaner.,Ich bin Kubanerin.,
I am Cypriot.,Ich bin Zyprer.,Ich bin Zyprerin.,
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,
I am German.,,,Ich bin Deutsche.
I am Djibouti.,Ich bin Dschibutier.,Ich bin Dschibutierin.,
