eng,fra_m,fra_f,fra_n
I am Afghan.,Je suis Afghan.,Je suis Afghane.,
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,
I am Argentine.,Je suis Argentin.,Je suis Argentine.,
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,
I am Antiguan.,,,Je suis Antiguaise.
I am Australian.,Je suis Australien.,Je suis Australienne.,
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,
I am Belgian.,,,Je suis Belge.
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,
I am Bulgarian.,,,Je suis Bulgare.
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,
I am Belarusian.,,,Je suis Biélorusse.
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,
I am Swiss.,,,Je suis Suisse.
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,
I am Cypriot.,,,Je suis Chypriote.
I am Czech.,,,Je suis Tchèque.
I am German.,Je suis Allemand.,Je suis Allemande.,
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,
I am Danish.,Je suis Danois.,Je suis Danoise.,
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,
